id,u,v
0,3958,643
1,3788,647
2,2427,1701
3,230,1329
4,1228,1647
5,3281,124
6,2829,1898
7,4401,622
8,745,1168
9,1197,1684
10,584,1189
11,3725,1410
12,4113,974
13,1281,1726
14,1107,853
15,1837,776
16,4208,685
17,3735,1525
18,3814,673
19,2706,1871
20,3940,658
21,920,934
22,3736,1523
23,1970,855
24,3789,638
25,937,1702
26,3837,638
27,1950,1970
28,3878,675
29,4422,593
30,3772,1431
31,3749,1472
32,3726,1505
33,3905,638
34,3821,1484
35,3918,633
36,1034,1726
37,581,1137
38,3892,634
39,3774,691
40,2169,2332
41,1193,1664
42,3809,1538
43,3807,1514
44,4220,981
45,3868,671
46,3719,1485
47,723,1138
48,3731,424
49,3960,649
50,3926,673
51,3775,654
52,724,1140
53,3937,649
54,1243,823
55,3808,1485
56,3959,640
57,3901,678
58,2983,1742
59,888,916
60,800,1142
61,3306,2022
62,1820,2325
63,3839,671
64,3943,640
65,195,980
66,3774,649
67,675,1181
68,2441,2076
69,3794,1559
70,2713,1871
71,4360,582
72,3930,623
73,550,759
74,3892,636
75,3012,1770
76,3818,1485
77,202,1144
78,3780,1568
79,4312,582
80,4310,584
81,2918,902
82,3882,666
83,3811,688
84,694,1145
85,758,1145
86,1982,2035
87,1195,836
88,2464,2261
89,3919,614
90,2924,880
91,3823,1593
92,449,1188
93,805,1145
94,905,1680
95,633,1146
96,2688,1315
97,1704,1172
98,679,1146
99,4445,542
100,3223,986
101,4488,599
102,3892,677
103,3924,650
104,3851,682
105,4209,689
106,3874,666
107,4379,623
108,3784,662
109,4427,614
110,391,1182
111,1064,1926
112,1184,835
113,3651,1432
114,1967,2012
115,3902,655
116,3888,658
117,3717,1503
118,1161,1001
119,3735,656
120,921,948
121,879,814
122,3194,870
123,3815,1468
124,953,1710
125,754,1148
126,955,1710
127,1371,1637
128,3699,1466
129,3961,610
130,3983,637
131,3867,668
132,3907,650
133,3737,1518
134,3258,692
135,3725,1502
136,1983,2048
137,2412,2086
138,949,934
139,3722,1501
140,1875,2054
141,3678,1489
142,798,1149
143,1271,1676
144,193,948
145,3860,669
146,3852,669
147,712,1150
148,3719,1501
149,4388,627
150,3940,612
151,1147,1614
152,3734,1513
153,3908,662
154,590,1139
155,3690,666
156,785,1152
157,737,1142
158,1996,852
159,3764,1533
160,3971,612
161,751,742
162,1214,1746
163,1106,685
164,628,1145
165,3919,624
166,3741,1508
167,973,1714
168,3840,627
169,3630,304
170,187,948
171,1958,2105
172,1185,840
173,1064,1665
174,3744,1475
175,3820,627
176,1175,1745
177,1265,628
178,1142,1751
179,4194,976
180,3960,653
181,692,1108
182,1206,1687
183,726,1154
184,3792,661
185,2718,1945
186,3905,676
187,3721,1480
188,3717,1480
189,3246,135
190,2608,1593
191,3923,676
192,819,1155
193,563,1114
194,1967,2044
195,1276,1715
196,3924,661
197,723,792
198,4173,976
199,3878,656
200,3192,976
201,1527,1156
202,4028,612
203,2026,2221
204,3803,651
205,1087,676
206,3785,681
207,1348,1715
208,3705,1476
209,1130,1753
210,3957,660
211,920,1694
212,1125,976
213,457,1202
214,742,1159
215,2006,1962
216,1180,1675
217,4028,605
218,2723,2034
219,503,1198
220,3936,660
221,1551,1128
222,4003,604
223,3901,660
224,3802,681
225,731,372
226,1216,1745
227,3783,648
228,4014,632
229,2968,1717
230,3973,626
231,4030,1806
232,706,1133
233,3841,648
234,2477,2060
235,3957,626
236,3723,1456
237,2717,2022
238,3717,1455
239,3888,660
240,768,753
241,3726,1509
242,3878,648
243,3007,922
244,3904,635
245,764,749
246,3918,642
247,4006,632
248,3846,670
249,3956,635
250,3801,651
251,2464,2057
252,1659,1161
253,3875,670
254,3592,674
255,1169,1750
256,3957,613
257,4410,625
258,3994,665
259,3828,1624
260,1278,1719
261,1099,1757
262,3598,448
263,1310,1719
264,1908,1883
265,768,748
266,1122,974
267,3711,660
268,2498,2029
269,4176,594
270,3888,642
271,2972,1719
272,494,1198
273,1171,842
274,3837,642
275,4079,625
276,3873,632
277,1551,1317
278,3825,684
279,403,1180
280,1979,1999
281,3890,625
282,3857,632
283,2972,1069
284,3733,1510
285,1119,1747
286,1159,844
287,1299,1720
288,735,756
289,3862,674
290,3815,632
291,3910,615
292,3731,1402
293,1149,1748
294,3889,665
295,3994,605
296,1186,1747
297,3007,1720
298,3955,669
299,2007,1880
300,4007,606
301,407,1172
302,3809,632
303,1400,208
304,3803,687
305,3768,1531
306,3851,652
307,1392,796
308,3776,1531
309,3084,1797
310,3844,635
311,3789,665
312,4462,536
313,3944,613
314,3930,615
315,1218,1721
316,3932,613
317,56,1256
318,1229,1672
319,706,1177
320,1288,1721
321,3737,1440
322,1393,1630
323,3834,687
324,89,970
325,1342,1721
326,699,1176
327,3732,1285
328,3183,124
329,3948,671
330,3943,630
331,3993,622
332,3991,608
333,2926,903
334,1194,1661
335,3921,616
336,1368,584
337,1078,1661
338,3011,1726
339,4470,545
340,3972,663
341,4428,557
342,4435,584
343,1160,653
344,3957,622
345,3992,634
346,3840,631
347,3885,678
348,4365,576
349,4467,546
350,666,893
351,1324,1639
352,4024,657
353,894,915
354,3980,663
355,1211,836
356,2723,2020
357,637,1184
358,3009,1728
359,3667,1434
360,1107,1752
361,3808,673
362,3759,1534
363,4003,664
364,1835,1914
365,1144,1729
366,3944,621
367,3800,673
368,3816,686
369,3793,673
370,3890,621
371,2460,2269
372,3886,630
373,1207,1658
374,3873,630
375,3284,121
376,2446,2063
377,1132,1731
378,1240,1741
379,1105,680
380,1227,1656
381,1210,1741
382,3812,679
383,2509,2319
384,1331,1640
385,1192,1731
386,3958,617
387,452,1200
388,1904,3131
389,4315,588
390,1370,584
391,3797,630
392,3892,631
393,3844,683
394,1252,1655
395,1255,1740
396,4025,620
397,3971,620
398,1168,1733
399,1056,664
400,1967,830
401,3983,635
402,3009,885
403,1152,1734
404,3739,1518
405,1363,1652
406,3687,1540
407,3792,1521
408,1371,1642
409,3685,1540
410,3837,683
411,1124,1735
412,1974,1891
413,360,1339
414,3309,2020
415,1113,1740
416,3878,679
417,1209,1735
418,1141,1607
419,3930,631
420,1954,1893
421,3662,1519
422,3851,659
423,3956,631
424,4006,619
425,4426,554
426,3992,619
427,723,958
428,3804,645
429,3893,618
430,1186,1736
431,3555,678
432,1382,1644
433,3938,659
434,4424,573
435,771,776
436,1278,1739
437,1449,1249
438,1841,1903
439,195,955
440,1290,1736
441,1264,1739
442,2918,889
443,1305,1736
444,1247,1738
445,394,1184
446,3953,658
447,3902,641
448,3934,672
449,2984,1737
450,3930,641
451,3795,647
452,3768,1533
453,4346,561
454,1210,655
455,1743,474
456,2875,1971
457,2027,2214
458,1311,1730
459,1261,1702
460,1210,1693
461,1081,870
462,3753,658
463,1231,833
464,4434,577
465,1187,646
466,1127,1742
467,1278,808
468,4106,1143
469,3241,138
470,1392,784
471,1120,850
472,3311,2027
473,4178,630
474,4414,615
475,2175,178
476,2365,2248
477,4417,615
478,3310,77
479,4471,534
480,4443,548
481,1058,1677
482,1917,1988
483,2750,339
484,4180,589
485,3048,1839
486,1204,837
487,884,966
488,2047,2192
489,3311,2020
490,3969,667
491,2858,1671
492,3011,1754
493,3468,789
494,3804,1521
495,1285,810
496,1213,1676
497,2138,2313
498,2917,1748
499,1997,1994
500,3016,1768
501,1335,1722
502,4435,571
503,3771,694
504,1224,1745
505,653,408
506,1267,822
507,3009,1752
508,4466,581
509,2986,1741
510,1956,2099
511,1152,1617
512,2366,2251
513,1281,820
514,1148,950
515,1093,899
516,170,782
517,4429,550
518,4477,598
519,1209,641
520,2445,2084
521,4484,591
522,1099,841
523,4218,711
524,1252,1671
525,2385,2268
526,3688,667
527,1280,811
528,3084,1799
529,1187,832
530,4444,567
531,1155,654
532,1528,1153
533,3872,621
534,2470,2252
535,1308,1695
536,3746,1541
