id_i,u_i,v_i,id_j,u_j,v_j,distance
53,2798,1631,1432,1661.76,3152.16,40
62,2071,224,1848,3616.7,699.84,42
146,2286,2305,1788,2474.5,549.504,45
167,2517,2035,2013,540.864,983.232,56
193,3104,1513,2498,3416.46,676.823,48
275,1024,1890,2787,3974.35,1842.35,50
303,338,1201,1727,3442.18,710.208,46
379,3940,1455,2914,2493.89,1859.67,51
581,987,556,549,608,787,49
661,2010,2078.4,1647,705.024,810.432,40
718,4046.4,1406.4,1714,3711.74,1741.82,41
789,3946.8,1419.6,2498,3416.46,676.823,38
792,3817.2,1870.8,306,1767,1522,52
940,950.4,662.4,2323,3423.51,651.11,42
963,3074.4,1375.2,2284,2681.17,756.864,44
1224,2512.8,2039.04,857,705.6,805.2,39
1283,3074.4,1375.2,2284,2681.17,756.864,46
1313,2020.32,2224.8,73,1058,497,45
1517,2966.4,1683.36,2172,972.519,931.047,36
1531,3922.56,1431.36,2170,3975.09,1219.28,54
1680,2799.36,1629.5,2785,1182.45,2042.41,47
1698,3024,1836.86,951,706.8,812.4,48
1728,1852.42,1698.62,604,1162,1191,25
1863,2020.03,2223.94,73,1058,497,46
1877,2529.79,1722.82,2504,975.422,1109.79,43
1884,3041.28,1867.97,2488,761.426,1109.79,49
1971,2128.9,2560.9,2452,3608.06,694.241,33
2007,3079.3,2035.58,2585,3511.02,669.358,47
2058,771.379,2421.97,2988,2020.91,2182.16,38
2160,644.89,1897.34,2912,4378.65,1214.7,26
2194,2898.89,2175.21,2820,2493.89,1949.25,39
2253,2753.74,1559.35,2963,831.298,985.375,49
2627,2012.55,2060.33,2173,3348.86,628.301,45
2818,2013.75,2060.33,2173,3348.86,628.301,45
2867,2755.47,1641.1,951,706.8,812.4,43
2904,3948.67,1418.94,1820,2700.86,1819.58,44
